title_std,company,city,is_remote,salary_min_lpa,salary_max_lpa,experience_min,experience_max,source,posted_at
Gcp Data Engineer,Tech Mahindra,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:09.393498
Gcp Data Engineer,Tata Consultancy Services,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:09.407204
Gcp Data Engineer,Tata Consultancy Services,Bangalore,False,15.0,25.0,5.0,10.0,naukri,2026-03-27 17:36:09.421284
Gcp Data Engineer,SIMPLE LOGIC IT Pvt Ltd,Mumbai,False,,,4.0,6.0,naukri,2026-03-27 17:36:09.435267
Engineering Manager Big Data,Adform,Mumbai,False,,,10.0,20.0,naukri,2026-03-27 17:36:09.449608
Director Principal Engineer Ai And Data Engineering,Pfizer,Mumbai,False,,,10.0,15.0,naukri,2026-03-27 17:36:09.464007
Dt Manager Data Engineering,General Mills,Mumbai,False,,,15.0,22.0,naukri,2026-03-27 17:36:09.471284
Data Engineering Manager,Top MNC Company,Bangalore,False,18.0,30.0,10.0,14.0,naukri,2026-03-27 17:36:09.478612
Development Manager Data Engineering,Priceline,Mumbai,False,,,4.0,8.0,naukri,2026-03-27 17:36:09.485948
Data Engineering Manager,The Collinson Group Limited,Mumbai,False,,,5.0,10.0,naukri,2026-03-27 17:36:09.493277
Director Data Engineering,The Edge Partnership,Mumbai,False,,,18.0,24.0,naukri,2026-03-27 17:36:09.500132
Director Data Engineering,The Edge Partnership,Mumbai,False,,,18.0,24.0,naukri,2026-03-27 17:36:09.507253
Manager Data Engineering Analysis,Utkarsh Placement,Mumbai,False,,,5.0,10.0,naukri,2026-03-27 17:36:09.520347
Cloud Data Engineer - Blr,Photon,Bangalore,False,,,6.0,9.0,naukri,2026-03-27 17:36:09.540323
Gcp Data Engineer - 24Th Jan Sat - Virtual Interview,Tata Consultancy Services,Mumbai,False,,,5.0,9.0,naukri,2026-03-27 17:36:09.547421
Associate Director Data Engineering,S&P Global Market Intelligence,Mumbai,False,,,12.0,16.0,naukri,2026-03-27 17:36:09.561563
Cloud Data Qa Engineer,Go Digital Technology Consulting,Pune,False,,,4.0,7.0,naukri,2026-03-27 17:36:09.568731
Gcp Data Engineer,Arahas Technologies,Bangalore,False,,,7.0,15.0,naukri,2026-03-27 17:36:09.583336
Gcp Data Engineer / Architect,Virtualware Innovations,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:09.597467
Gcp Data Engineer / Architect,Virtualware Innovations,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:09.611341
Vp Gcp Data Engineer,Han Digital Solution,Pune,False,,,11.0,16.0,naukri,2026-03-27 17:36:09.625352
Gcp Data Engineer,Unitrestech Solutions,Mumbai,False,,,3.0,6.0,naukri,2026-03-27 17:36:09.639511
Data Engineering And Advanced Analytics Sr Manager,Hitachi Digital Services,Bangalore,False,,,7.0,11.0,naukri,2026-03-27 17:36:09.653409
Senior Data Engineer Dataform Bigquery,Shrikrishiv Marketing Llp,Bangalore,False,30.0,40.0,6.0,11.0,naukri,2026-03-27 17:36:09.660265
Big Data Engineer,CMM Level 5 IT Company,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:09.674610
Senior Data Engineer,Persistent,Bangalore,False,,,6.0,11.0,naukri,2026-03-27 17:36:09.681965
Sr Data Engineer,Photon,Bangalore,False,,,4.0,9.0,naukri,2026-03-27 17:36:09.696036
Senior Data Engineer,PayU,Bangalore,False,,,3.0,4.0,naukri,2026-03-27 17:36:09.703292
Sr Data Engineer,Photon,Bangalore,False,,,8.0,9.0,naukri,2026-03-27 17:36:09.716996
Sr Developer - Data Engineering,Photon,Bangalore,False,,,4.0,8.0,naukri,2026-03-27 17:36:09.731647
Senior Data Engineer,S&P Global Market Intelligence,Mumbai,False,,,6.0,8.0,naukri,2026-03-27 17:36:09.745650
Senior Data Engineer,Codefeast Enterprises,Bangalore,False,,,7.0,11.0,naukri,2026-03-27 17:36:09.759649
Senior Data Engineer,Kotak Life Insurance,Mumbai,False,,,3.0,8.0,naukri,2026-03-27 17:36:09.766920
Senior Data Engineer Snowflake,Leading Client,Hyderabad,False,,,7.0,11.0,naukri,2026-03-27 17:36:09.781294
Lead Data Engineer Integration Specialist,Hitachi Digital Services,Bangalore,False,,,5.0,8.0,naukri,2026-03-27 17:36:09.796003
Manager Vx Data Product Engineering,Pfizer,Mumbai,False,,,4.0,9.0,naukri,2026-03-27 17:36:09.803025
Director Ai And Data Solution Engineering,Salesforce,Mumbai,False,,,12.0,17.0,naukri,2026-03-27 17:36:09.810405
Director Ai And Data Solution Engineering,Salesforce,Mumbai,False,,,12.0,17.0,naukri,2026-03-27 17:36:09.817447
Senior Data Engineer,AuxoAI,Bangalore,False,25.0,40.0,6.0,9.0,naukri,2026-03-27 17:36:09.825092
Sr Data Engineer,Useready,Bangalore,False,,,3.0,5.0,naukri,2026-03-27 17:36:09.839302
Sr Data Engineer,Useready,Bangalore,False,,,3.0,5.0,naukri,2026-03-27 17:36:09.846501
Senior Data Engineer,EY,Mumbai,False,,,4.0,8.0,naukri,2026-03-27 17:36:09.853616
